k, ca, no3, nh4
2.163, 1.619, 1.682, 1.764
2.48, 1.711, 1.356, 2.08
2.31, 1.672, 1.537, 1.919
2.133, 1.625, 1.688, 1.756
2.36, 1.666, 1.489, 1.983
2.285, 1.659, 1.575, 1.913
2.47, 1.699, 1.375, 2.072
2.188, 1.649, 1.694, 1.8
2.261, 1.654, 1.573, 1.879
2.259, 1.655, 1.576, 1.878
2.49, 1.711, 1.324, 2.087
2.48, 1.714, 1.348, 2.085
2.48, 1.701, 1.329, 2.066
2.14, 1.614, 1.709, 1.749
2.48, 1.709, 1.355, 2.079
2.43, 1.699, 1.39, 2.027
2.36, 1.666, 1.486, 1.983
2.44, 1.695, 1.396, 2.056
2.37, 1.683, 1.453, 1.972
2.3, 1.678, 1.512, 1.913
2.377, 1.696, 1.425, 1.986
2.424, 1.699, 1.399, 2.03
2.162, 1.62, 1.679, 1.767
2.515, 1.714, 1.319, 2.114
2.44, 1.693, 1.397, 2.056
2.39, 1.692, 1.444, 2.005
2.357, 1.69, 1.474, 1.983
2.262, 1.651, 1.571, 1.874
2.49, 1.709, 1.34, 2.096
2.25, 1.654, 1.601, 1.852
2.25, 1.655, 1.592, 1.869
2.514, 1.714, 1.321, 2.116
2.394, 1.69, 1.465, 2.01
2.349, 1.679, 1.516, 1.972
2.44, 1.703, 1.391, 2.049
2.397, 1.694, 1.434, 2.01
2.43, 1.697, 1.389, 2.025
2.514, 1.714, 1.322, 2.118
2.162, 1.625, 1.678, 1.767
2.488, 1.708, 1.351, 2.096
2.31, 1.673, 1.538, 1.918
2.424, 1.698, 1.4, 2.03
2.133, 1.626, 1.689, 1.758
2.42, 1.689, 1.42, 2.037
2.26, 1.656, 1.588, 1.869
2.392, 1.689, 1.467, 2.012
2.309, 1.675, 1.527, 1.938
2.36, 1.687, 1.474, 1.981
2.25, 1.655, 1.58, 1.873
2.45, 1.694, 1.395, 2.055
2.423, 1.703, 1.413, 2.036
2.258, 1.657, 1.574, 1.878
2.44, 1.695, 1.392, 2.055
2.133, 1.625, 1.688, 1.756
2.132, 1.626, 1.689, 1.753
2.44, 1.702, 1.403, 2.039
2.503, 1.713, 1.331, 2.108
2.468, 1.705, 1.371, 2.079
2.359, 1.689, 1.474, 1.981
2.254, 1.655, 1.575, 1.879
2.32, 1.672, 1.538, 1.919
2.42, 1.695, 1.426, 2.02
2.133, 1.625, 1.687, 1.756
2.348, 1.679, 1.515, 1.972
2.162, 1.621, 1.678, 1.767
2.284, 1.661, 1.581, 1.915
2.13, 1.62, 1.708, 1.722
2.424, 1.703, 1.41, 2.036
2.47, 1.699, 1.373, 2.072
2.443, 1.712, 1.353, 2.043
2.45, 1.694, 1.397, 2.056
2.378, 1.698, 1.425, 1.986
2.44, 1.692, 1.395, 2.055
2.161, 1.625, 1.676, 1.766
2.46, 1.705, 1.38, 2.053
2.48, 1.709, 1.356, 2.08
2.133, 1.626, 1.69, 1.753
2.46, 1.708, 1.372, 2.065
2.14, 1.615, 1.706, 1.748
2.32, 1.674, 1.522, 1.925
2.36, 1.684, 1.477, 1.976
2.32, 1.671, 1.496, 1.929
2.44, 1.701, 1.367, 2.044
2.32, 1.672, 1.52, 1.929
2.402, 1.692, 1.426, 2.01
2.187, 1.643, 1.699, 1.802
2.504, 1.714, 1.335, 2.108
2.49, 1.708, 1.34, 2.098
2.442, 1.71, 1.351, 2.04
2.514, 1.716, 1.321, 2.118
2.4, 1.69, 1.416, 2.001
2.4, 1.688, 1.417, 2.003
2.44, 1.702, 1.367, 2.045
2.37, 1.685, 1.454, 1.972
2.32, 1.675, 1.521, 1.924
2.492, 1.716, 1.332, 2.096
2.49, 1.708, 1.341, 2.096
2.13, 1.643, 1.659, 1.709
2.25, 1.655, 1.581, 1.872
2.422, 1.698, 1.4, 2.03
2.403, 1.689, 1.426, 2.01
2.515, 1.713, 1.317, 2.114
2.162, 1.626, 1.675, 1.766
