# ['﻿k', 'ca', 'no3', 'nh4']
1.495655441284179688e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.944367408752441406e+01
2.947101354598999023e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.381669235229492188e+01
1.150559997558593750e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.150320625305175781e+01
1.544457054138183594e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.937132835388183594e+01
9.008153915405273438e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.224377441406250000e+01
1.260815238952636719e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.129611968994140625e+01
3.538995504379272461e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.366607475280761719e+01
1.542118740081787109e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.012079238891601562e+01
1.307092761993408203e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.094354629516601562e+01
1.317849922180175781e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.095294380187988281e+01
1.818568944931030273e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.380828475952148438e+01
2.723499059677124023e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.387084960937500000e+01
2.123851537704467773e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.351882171630859375e+01
1.539005565643310547e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.918221092224121094e+01
2.900222539901733398e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.379308891296386719e+01
4.989895343780517578e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.302031707763671875e+01
8.927739143371582031e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.225650024414062500e+01
4.658834934234619141e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.341891098022460938e+01
8.102261543273925781e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.238613128662109375e+01
1.116642856597900391e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.154291152954101562e+01
7.124581813812255859e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.267143440246582031e+01
5.301404476165771484e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307110023498535156e+01
1.497112083435058594e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.947764968872070312e+01
1.157264471054077148e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.414704322814941406e+01
4.659268856048583984e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.341046524047851562e+01
7.269513607025146484e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.287303352355957031e+01
8.924098968505859375e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.252150917053222656e+01
1.299392414093017578e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.088314437866210938e+01
2.208739995956420898e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.395860862731933594e+01
1.383846569061279297e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.087027549743652344e+01
1.365514183044433594e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.093967819213867188e+01
1.219812154769897461e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.417663002014160156e+01
7.807473659515380859e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.290316390991210938e+01
1.017859840393066406e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.210932159423828125e+01
4.703585147857666016e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.335430335998535156e+01
6.825599193572998047e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.294138908386230469e+01
4.953992366790771484e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.298100852966308594e+01
1.237401723861694336e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.420369911193847656e+01
1.504645347595214844e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.954333114624023438e+01
2.541740179061889648e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.398905563354492188e+01
1.155090522766113281e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.150691795349121094e+01
5.314651966094970703e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.306974792480468750e+01
1.547937393188476562e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.939650535583496094e+01
5.722350597381591797e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.318862342834472656e+01
1.345820426940917969e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.095888137817382812e+01
7.865832805633544922e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.291512489318847656e+01
1.119580936431884766e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.168669128417968750e+01
8.866946220397949219e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.246847343444824219e+01
1.339739990234375000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.092111968994140625e+01
4.490726947784423828e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.340817832946777344e+01
5.701051235198974609e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.323758125305175781e+01
1.317970848083496094e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.096465873718261719e+01
4.552346706390380859e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.340391731262207031e+01
1.544457054138183594e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.937132835388183594e+01
1.546919250488281250e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.935793495178222656e+01
5.148221492767333984e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.320450210571289062e+01
1.719442129135131836e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.410112571716308594e+01
3.466949224472045898e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.378209877014160156e+01
8.906383514404296875e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.248673439025878906e+01
1.322028160095214844e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.094375801086425781e+01
1.138516712188720703e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.152833747863769531e+01
6.148367404937744141e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.305559730529785156e+01
1.543564224243164062e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.937329483032226562e+01
1.016634368896484375e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.210995864868164062e+01
1.497903251647949219e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.949237060546875000e+01
1.278242588043212891e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.133229446411132812e+01
1.557022190093994141e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.900284194946289062e+01
5.605178356170654297e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.322127151489257812e+01
3.481889486312866211e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.366443443298339844e+01
3.696550130844116211e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.329242324829101562e+01
4.538555622100830078e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.342267990112304688e+01
7.138593196868896484e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.268777847290039062e+01
4.596999645233154297e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.339162254333496094e+01
1.503644561767578125e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.953757667541503906e+01
4.094859600067138672e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.343201446533203125e+01
2.923341512680053711e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.380761146545410156e+01
1.546578407287597656e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.935848617553710938e+01
3.786430120468139648e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.360268020629882812e+01
1.536720275878906250e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.919337654113769531e+01
1.099183654785156250e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.161388206481933594e+01
8.981614112854003906e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.236490821838378906e+01
1.027169036865234375e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.165294265747070312e+01
4.022924900054931641e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.326850128173828125e+01
1.088468265533447266e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.162285232543945312e+01
6.473935604095458984e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.291762351989746094e+01
1.538609504699707031e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.004637527465820312e+01
1.832113027572631836e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.412009620666503906e+01
2.185210943222045898e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.397750473022460938e+01
3.648449659347534180e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.324017524719238281e+01
1.232234716415405273e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.421010780334472656e+01
6.261189937591552734e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.278575515747070312e+01
6.241035938262939453e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.279488754272460938e+01
4.028089046478271484e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.328653907775878906e+01
8.160264968872070312e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.240152359008789062e+01
1.098861885070800781e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.162029647827148438e+01
2.027923345565795898e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.396768379211425781e+01
2.225883245468139648e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.395707321166992188e+01
1.532925224304199219e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.935309791564941406e+01
1.342152595520019531e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.091934204101562500e+01
5.342189311981201172e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307192420959472656e+01
6.417683124542236328e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.289194107055664062e+01
1.087009191513061523e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.413552665710449219e+01
1.503201198577880859e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.955478858947753906e+01
2.026622533798217773e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.396841812133789062e+01
8.602567672729492188e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.236572837829589844e+01
2.534089803695678711e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.379520034790039062e+01
1.124282598495483398e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.415611267089843750e+01
3.248393774032592773e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.360385704040527344e+01
4.600604534149169922e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.340998840332031250e+01
4.707431316375732422e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.306044197082519531e+01
4.070971012115478516e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.344178771972656250e+01
5.134968280792236328e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.321059989929199219e+01
2.863670110702514648e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345848655700683594e+01
7.843238353729248047e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.291402435302734375e+01
1.016686534881591797e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.209235000610351562e+01
7.233501911163330078e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.268950462341308594e+01
1.544907569885253906e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.938658332824707031e+01
1.011751365661621094e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.206659889221191406e+01
2.026168584823608398e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.393980979919433594e+01
2.477452993392944336e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.400457954406738281e+01
1.263066101074218750e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.128632926940917969e+01
7.123486042022705078e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.299172401428222656e+01
2.042676687240600586e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.352558326721191406e+01
1.769580602645874023e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.384551620483398438e+01
2.640559911727905273e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.348608016967773438e+01
1.265463066101074219e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.128572654724121094e+01
6.156239986419677734e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.305969238281250000e+01
1.191997289657592773e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.417255210876464844e+01
4.588723659515380859e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.357719421386718750e+01
5.851975917816162109e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.288137245178222656e+01
2.083408117294311523e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.400987815856933594e+01
5.838669300079345703e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.312908172607421875e+01
8.983724594116210938e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.221152305603027344e+01
8.124839782714843750e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.235985755920410156e+01
1.354218196868896484e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.096965599060058594e+01
1.139913177490234375e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.154528808593750000e+01
1.378938007354736328e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.084976005554199219e+01
1.540435123443603516e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.919485664367675781e+01
4.115203380584716797e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.337900733947753906e+01
3.518253087997436523e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.381505393981933594e+01
1.382504844665527344e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.085241508483886719e+01
