# '﻿k', 'ca', 'no3', 'nh4'
4.126582760363817215e-03, 1.140515669248998165e-03, 5.913645960390567780e-03, 5.482911365106701851e-04
2.632530219852924347e-02, 4.367566201835870743e-03, 3.946102038025856018e-02, 3.058250527828931808e-03
9.139446541666984558e-03, 2.671849681064486504e-03, 1.604976691305637360e-02, 1.444366062059998512e-03
4.454195965081453323e-03, 1.124434173107147217e-03, 5.944383796304464340e-03, 5.242558545432984829e-04
1.045541651546955109e-02, 2.904327586293220520e-03, 1.750253885984420776e-02, 1.672304701060056686e-03
5.517138633877038956e-04, 2.060262719169259071e-03, 1.103695202618837357e-02, 1.113663893193006516e-03
2.247637137770652771e-02, 4.352426156401634216e-03, 3.394953906536102295e-02, 2.391858259215950966e-03
4.514730535447597504e-03, 1.132977078668773174e-03, 5.652016960084438324e-03, 5.417274078354239464e-04
6.535252905450761318e-04, 2.115501789376139641e-03, 1.126956101506948471e-02, 1.160692772828042507e-03
6.361205014400184155e-04, 2.122602425515651703e-03, 1.128647010773420334e-02, 1.161961467005312443e-03
3.029674291610717773e-02, 4.755474627017974854e-03, 4.420634359121322632e-02, 4.421897232532501221e-03
2.620847895741462708e-02, 3.779156832024455070e-03, 4.073679074645042419e-02, 3.606187645345926285e-03
2.638043463230133057e-02, 6.040113978087902069e-03, 4.293549805879592896e-02, 3.224372863769531250e-03
4.944916348904371262e-03, 1.095792977139353752e-03, 5.726923234760761261e-03, 4.940775106661021709e-04
2.624823153018951416e-02, 4.689062945544719696e-03, 3.974610567092895508e-02, 3.130224067717790604e-03
1.834066770970821381e-02, 4.530233331024646759e-03, 3.069305233657360077e-02, 2.386010251939296722e-03
1.068302430212497711e-02, 3.057286376133561134e-03, 1.804901845753192902e-02, 1.693722559139132500e-03
2.038903906941413879e-02, 4.702910315245389938e-03, 3.052466921508312225e-02, 2.034850418567657471e-03
1.367029547691345215e-02, 3.355974098667502403e-03, 2.064558863639831543e-02, 1.625916804186999798e-03
9.708628058433532715e-03, 2.640289254486560822e-03, 1.576779782772064209e-02, 1.435070065781474113e-03
1.687061041593551636e-02, 3.733348567038774490e-03, 2.403077110648155212e-02, 1.893632812425494194e-03
1.888778060674667358e-02, 4.319767933338880539e-03, 2.931106649339199066e-02, 2.212620573118329048e-03
4.121809732168912888e-03, 1.137656392529606819e-03, 5.923298653215169907e-03, 5.459808162413537502e-04
3.655008226633071899e-02, 7.502699270844459534e-03, 4.455449432134628296e-02, 6.687555927783250809e-03
2.056018263101577759e-02, 4.775824025273323059e-03, 3.056974336504936218e-02, 2.030916279181838036e-03
1.583797670900821686e-02, 3.774011507630348206e-03, 2.375413849949836731e-02, 1.919605885632336140e-03
1.221490837633609772e-02, 3.305492922663688660e-03, 1.987943425774574280e-02, 1.860539312474429607e-03
6.344778812490403652e-04, 2.113212831318378448e-03, 1.120916102081537247e-02, 1.136943348683416843e-03
2.824208885431289673e-02, 4.074702039361000061e-03, 4.290308430790901184e-02, 4.076713230460882187e-03
7.066478719934821129e-04, 2.070735208690166473e-03, 1.118815224617719650e-02, 1.058412599377334118e-03
6.204129895195364952e-04, 2.075589494779706001e-03, 1.108001731336116791e-02, 1.070408965460956097e-03
3.623038530349731445e-02, 7.460960187017917633e-03, 4.449447989463806152e-02, 6.629345472902059555e-03
1.361021958291530609e-02, 3.298467257991433144e-03, 2.021826803684234619e-02, 1.679803244769573212e-03
8.156983181834220886e-03, 2.423735335469245911e-03, 1.426582317799329758e-02, 1.357145723886787891e-03
2.131508290767669678e-02, 5.018121097236871719e-03, 3.229842334985733032e-02, 2.270921831950545311e-03
1.719124428927898407e-02, 3.827336942777037621e-03, 2.431447245180606842e-02, 2.013030694797635078e-03
1.784907281398773193e-02, 4.391820169985294342e-03, 3.043376840651035309e-02, 2.412502886727452278e-03
3.670855611562728882e-02, 7.866599597036838531e-03, 4.445725306868553162e-02, 7.280373480170965195e-03
4.038224462419748306e-03, 1.146854949183762074e-03, 6.011926569044589996e-03, 5.535714444704353809e-04
2.647197246551513672e-02, 3.373341402038931847e-03, 4.056197404861450195e-02, 3.502648323774337769e-03
9.334248490631580353e-03, 2.665989799425005913e-03, 1.623999513685703278e-02, 1.436193240806460381e-03
1.906209439039230347e-02, 4.313297569751739502e-03, 2.930003963410854340e-02, 2.178091323003172874e-03
4.424699116498231888e-03, 1.125816372223198414e-03, 5.969097837805747986e-03, 5.260320031084120274e-04
1.650412194430828094e-02, 3.360081696882843971e-03, 2.515117079019546509e-02, 1.773332245647907257e-03
5.794977187179028988e-04, 2.198236528784036636e-03, 1.128617767244577408e-02, 1.176720834337174892e-03
1.308166049420833588e-02, 3.245356725528836250e-03, 1.927641034126281738e-02, 1.649429905228316784e-03
8.917489089071750641e-03, 2.758837770670652390e-03, 1.516240742057561874e-02, 1.462053973227739334e-03
1.232892926782369614e-02, 3.281950484961271286e-03, 1.993207074701786041e-02, 1.844785059802234173e-03
6.105734501034021378e-04, 2.095706528052687645e-03, 1.127342134714126587e-02, 1.120803179219365120e-03
2.187384106218814850e-02, 5.107054952532052994e-03, 3.166961297392845154e-02, 2.050809096544981003e-03
1.673273742198944092e-02, 3.798297839239239693e-03, 2.691773883998394012e-02, 1.866210834123194218e-03
6.639764760620892048e-04, 2.126814331859350204e-03, 1.125678978860378265e-02, 1.177104073576629162e-03
2.109733596444129944e-02, 5.041921511292457581e-03, 3.164508566260337830e-02, 2.159607596695423126e-03
4.454195965081453323e-03, 1.124434173107147217e-03, 5.944383796304464340e-03, 5.242558545432984829e-04
4.457716364413499832e-03, 1.125654787756502628e-03, 5.972923710942268372e-03, 5.236282013356685638e-04
1.926589384675025940e-02, 4.512071609497070312e-03, 3.068668767809867859e-02, 2.187183126807212830e-03
2.742451615631580353e-02, 4.276711959391832352e-03, 4.382874071598052979e-02, 4.331395495682954788e-03
2.279376611113548279e-02, 4.090728703886270523e-03, 3.324978053569793701e-02, 2.299962565302848816e-03
1.234877202659845352e-02, 3.331301733851432800e-03, 2.008959650993347168e-02, 1.868762890808284283e-03
6.612441502511501312e-04, 2.087153028696775436e-03, 1.128666475415229797e-02, 1.134464750066399574e-03
9.639313444495201111e-03, 2.652439055964350700e-03, 1.654694788157939911e-02, 1.435546786524355412e-03
1.745985634624958038e-02, 3.627458587288856506e-03, 2.709870226681232452e-02, 2.051690360531210899e-03
4.456786904484033585e-03, 1.124427537433803082e-03, 5.935499444603919983e-03, 5.242812330834567547e-04
8.213079534471035004e-03, 2.444455865770578384e-03, 1.436356920748949051e-02, 1.372869242914021015e-03
4.107899963855743408e-03, 1.138651394285261631e-03, 5.941202864050865173e-03, 5.465550348162651062e-04
5.129593191668391228e-04, 2.060771454125642776e-03, 1.114028971642255783e-02, 1.178531674668192863e-03
4.563086666166782379e-03, 1.116081024520099163e-03, 6.023817230015993118e-03, 5.038422532379627228e-04
1.731656864285469055e-02, 3.914427943527698517e-03, 2.759349718689918518e-02, 1.931117381900548935e-03
2.303268760442733765e-02, 4.460423253476619720e-03, 3.456376865506172180e-02, 2.448796061798930168e-03
1.832781173288822174e-02, 9.920858778059482574e-03, 3.620696440339088440e-02, 4.207860678434371948e-03
2.128116786479949951e-02, 4.902114160358905792e-03, 3.090135008096694946e-02, 2.008822746574878693e-03
1.733089983463287354e-02, 3.866651095449924469e-03, 2.469575963914394379e-02, 1.934861997142434120e-03
2.108182013034820557e-02, 5.034510977566242218e-03, 3.129015117883682251e-02, 2.087688539177179337e-03
4.062079824507236481e-03, 1.144517911598086357e-03, 6.003158167004585266e-03, 5.503303254954516888e-04
2.462742105126380920e-02, 6.267053540796041489e-03, 3.424751758575439453e-02, 2.637518104165792465e-03
2.615721151232719421e-02, 4.535033367574214935e-03, 3.944994136691093445e-02, 3.092416562139987946e-03
4.438543226569890976e-03, 1.126457471400499344e-03, 5.985104013234376907e-03, 5.242064362391829491e-04
2.264610677957534790e-02, 5.105807911604642868e-03, 3.440314158797264099e-02, 2.195747336372733116e-03
4.736799746751785278e-03, 1.102606416679918766e-03, 5.800630431622266769e-03, 5.016708164475858212e-04
9.998949244618415833e-03, 2.726589562371373177e-03, 1.647934690117835999e-02, 1.476698438636958599e-03
1.212881132960319519e-02, 3.229842754080891609e-03, 1.977332867681980133e-02, 1.824586535803973675e-03
8.963399566709995270e-03, 2.813214203342795372e-03, 1.578722707927227020e-02, 1.525539555586874485e-03
1.781973987817764282e-02, 8.216763846576213837e-03, 3.450039401650428772e-02, 3.641758579760789871e-03
9.598673321306705475e-03, 2.740244381129741669e-03, 1.607757434248924255e-02, 1.490787370130419731e-03
1.649177074432373047e-02, 3.803497878834605217e-03, 2.421542257070541382e-02, 1.997771905735135078e-03
4.653382580727338791e-03, 1.133821089752018452e-03, 5.400344729423522949e-03, 5.384475807659327984e-04
2.710888721048831940e-02, 3.799459664151072502e-03, 4.353434219956398010e-02, 4.212279338389635086e-03
2.770835906267166138e-02, 3.947657532989978790e-03, 4.285831004381179810e-02, 4.030677955597639084e-03
1.989685371518135071e-02, 8.856253698468208313e-03, 3.624964877963066101e-02, 3.641829360276460648e-03
3.684500232338905334e-02, 7.972195744514465332e-03, 4.448570311069488525e-02, 7.269081193953752518e-03
1.569789275527000427e-02, 3.732628654688596725e-03, 2.402436546981334686e-02, 1.935592386871576309e-03
1.537680067121982574e-02, 3.694803686812520027e-03, 2.361968904733657837e-02, 1.912467880174517632e-03
1.773778721690177917e-02, 8.074598386883735657e-03, 3.445130214095115662e-02, 3.619336523115634918e-03
1.379410829395055771e-02, 3.362048882991075516e-03, 2.091903612017631531e-02, 1.648919773288071156e-03
1.014602370560169220e-02, 2.725322032347321510e-03, 1.661640964448451996e-02, 1.480711507610976696e-03
2.867238596081733704e-02, 3.932981286197900772e-03, 4.368843883275985718e-02, 4.249168559908866882e-03
2.829427085816860199e-02, 4.103509243577718735e-03, 4.280306771397590637e-02, 4.043139051645994186e-03
4.495138302445411682e-03, 1.151695963926613331e-03, 6.000214722007513046e-03, 5.221912288106977940e-04
5.992288934066891670e-04, 2.099647419527173042e-03, 1.127401553094387054e-02, 1.122349640354514122e-03
1.917600631713867188e-02, 4.280080087482929230e-03, 2.925351634621620178e-02, 2.122997771948575974e-03
1.611961983144283295e-02, 3.746179398149251938e-03, 2.382257208228111267e-02, 1.948806690052151680e-03
3.843044862151145935e-02, 8.793069049715995789e-03, 4.459265619516372681e-02, 7.836883887648582458e-03
4.035525489598512650e-03, 1.146136550232768059e-03, 6.030626595020294189e-03, 5.517018144018948078e-04
2.872979640960693359e-02, 4.012653604149818420e-03, 4.373865202069282532e-02, 4.225019831210374832e-03
1.248784828931093216e-02, 3.219955135136842728e-03, 1.997018419206142426e-02, 1.758425962179899216e-03
2.849993482232093811e-02, 4.801895935088396072e-03, 4.196818917989730835e-02, 3.556857816874980927e-03
3.871523961424827576e-02, 1.044381316751241684e-02, 4.454549401998519897e-02, 9.686183184385299683e-03
2.409251034259796143e-02, 5.117480643093585968e-03, 3.802450746297836304e-02, 2.487188670784235001e-03
